,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sinkat,90,CA,1556595740,43,53.71,-111.75,36.80060000000005,2.81
1,doctor pedro p. pena,100,AU,1556595741,52,-23.58,149.07,76.94060000000007,6.84
2,two hills,75,CL,1556595199,86,-53.16,-70.91,37.4,4.6
3,bluff,90,NZ,1556595611,81,-46.19,168.86,55.99400000000007,1.81
4,punta arenas,75,CA,1556595702,38,45.36,-73.48,44.00600000000003,2.22
5,mataura,100,PF,1556595742,68,-23.12,-134.97,72.26060000000004,9.81
6,saint-philippe,1,CA,1556593200,85,70.47,-68.59,12.2,3.6
7,kadykchan,72,MG,1556595742,99,-14.9,50.28,67.76060000000004,1.48
8,rikitea,0,FR,1556595730,81,45.6,-0.6,46.99400000000007,1.5
9,clyde river,0,RU,1556595637,79,59.7,30.79,33.998000000000026,1.44
10,antalaha,21,RU,1556595743,28,50.29,130.28,66.50060000000005,5.67
11,souillac,75,US,1556595734,88,29.74,-97.91,73.99400000000007,3.6
12,nikolskoye,0,MZ,1556595743,95,-24.69,33.53,65.78059999999999,1.36
13,talakan,75,JP,1556593200,16,43.76,142.37,69.8,8.7
14,galle,75,AR,1556593200,72,-54.81,-68.31,33.8,8.7
15,mys shmidta,75,IN,1556593200,88,15.34,74.49,77.0,3.1
16,chibuto,0,ZA,1556593200,46,-33.02,27.91,71.6,5.7
17,asahikawa,88,CY,1556595068,59,34.92,32.53,64.4,3.1
18,ushuaia,6,MX,1556595744,20,18.62,-100.35,89.1806,1.13
19,vaini,20,CA,1556595387,55,62.45,-114.38,8.600000000000001,6.7
20,east london,96,AU,1556595573,38,-33.64,115.35,64.99400000000007,7.76
21,lasa,0,ZA,1556595365,87,-33.93,18.42,59.0,2.6
22,coahuayana,75,CN,1556595237,93,29.72,120.23,64.00400000000005,2.0
23,yellowknife,97,RU,1556595745,99,63.05,179.32,33.560600000000036,4.75
24,nizhneyansk,40,GY,1556593200,94,6.8,-58.16,75.2,2.1
25,busselton,75,CA,1556593200,64,55.1,-105.3,37.4,2.6
26,cape town,0,AU,1556595735,37,-42.78,147.06,71.00600000000003,5.7
27,zhuji,90,CA,1556593200,72,49.72,-86.95,32.0,3.6
28,beringovskiy,0,AU,1556595615,37,-42.88,147.33,71.00600000000003,5.7
29,georgetown,0,ES,1556595657,72,28.66,-17.92,64.4,4.6
